Title,Abstract,StoreId,ArticleType,Authors,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,FindACopy,Database
FAKE DROWNING TAKES BOSTON TRIO TO COURT,"Alvin G. Plackter, 37, a business man, today was charged with larceny of in connection with what police described as his fake drowning in Boston harbor. He pleaded innocent and was held in lieu...",180301000,Historical Newspapers,," Copyright Tribune Publishing Company Oct 17, 1957"," 565752682 , 6575332 , 53854", article," Oct 17, 1957",, English, English, a9," Chicago, Ill.","Oct 17, 1957",Chicago Daily Tribune (1923-1963),1957,http://search.proquest.com/docview/180301000?accountid=14496, A9,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=FAKE+DROWNING+TAKES+BOSTON+TRIO+TO+COURT%3A+%27VICTIM%27+WANTED+A+NEW+LIFE%2C+HE+SAYS&amp;title=Chicago+Daily+Tribune+%281923-1963%29&amp;issn=&amp;date=1957-10-17&amp;volume=&amp;issue=&amp;spage=A9&amp;au=&amp;isbn=&amp;jtitle=Chicago+Daily+Tribune+%281923-1963%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
Author to Be Speaker at Library Dedication,"A noted author who was graduated from Fullerton Junior College 38 years ago will return to the campus today to speak at ceremonies dedicating the college's new $44,000 libraryclassroom building.",167218249,Historical Newspapers,," Copyright Times Mirror Company Oct 20, 1957"," 438096722 , 5894872 , 53850", article," Oct 20, 1957",0458-3035, English, English, H4," Los Angeles, Calif.","Oct 20, 1957",Los Angeles Times (1923-Current File),1957,http://search.proquest.com/docview/167218249?accountid=14496, H4,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=Author+to+Be+Speaker+at+Library+Dedication&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1957-10-20&amp;volume=&amp;issue=&amp;spage=H4&amp;au=&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
Rite Sunday At Addition To School,"The cornerstone will be laid Sunday for a $300,000 addition to the educational building of the Chevy Chase Presbyterian Church, Chevy Chase circle.",149088483,Historical Newspapers,," Copyright The Washington Post Company Jan 18, 1958"," 121055519 , 1682007 , 48613", article," Jan 18, 1958",, English, English, A11," Washington, D.C.","Jan 18, 1958",The Washington Post and Times Herald (1954-1959),1958,http://search.proquest.com/docview/149088483?accountid=14496, A11,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpwashingtonpost&amp;atitle=Rite+Sunday+At+Addition+To+School&amp;title=The+Washington+Post+and+Times+Herald+%281954-1959%29&amp;issn=&amp;date=1958-01-18&amp;volume=&amp;issue=&amp;spage=A11&amp;au=&amp;isbn=&amp;jtitle=The+Washington+Post+and+Times+Herald+%281954-1959%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The Washington Post
BURGLAR SHOT DEAD IN 57TH ST. HOUSE,A burglar was shot dead yesterday noon by a policeman who caught him ransacking an apartment in West Fifty-seventh Street.,114373881,Historical Newspapers,," Copyright New York Times Company Jan 22, 1958"," 91382671 , 1527604 , 43896", article," Jan 22, 1958",0362-4331, English, English,," New York, N.Y.","Jan 22, 1958",New York Times (1923-Current file),1958,http://search.proquest.com/docview/114373881?accountid=14496, 36,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimeswindex&amp;atitle=BURGLAR+SHOT+DEAD+IN+57TH+ST.+HOUSE&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1958-01-22&amp;volume=&amp;issue=&amp;spage=36&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times with Index
COOPERATIVE DUE TO OPEN BY APRIL 1,,114405141,Historical Newspapers,," Copyright New York Times Company Feb 2, 1958"," 91384333 , 1527606 , 43896", real_estate_transaction," Feb 2, 1958",0362-4331, English, English,," New York, N.Y.","Feb 2, 1958",New York Times (1923-Current file),1958,http://search.proquest.com/docview/114405141?accountid=14496, R5,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Ahnpnewyorktimeswindex&amp;atitle=COOPERATIVE+DUE+TO+OPEN+BY+APRIL+1%3A+EAST+57TH+ST.+STRUCTURE+FOR+128+FAMILIES+PUTS+TWO+APARTMENTS+ON+VIEW&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1958-02-02&amp;volume=&amp;issue=&amp;spage=R5&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times with Index
Front Views &amp; Profiles,"There are only two things wrong with vacations; they end too soon and they don't occur often enough. Ours was spent absorbing the April sunshine in Palm Beach, where we were the fortunate occupants of a...",182102868,Historical Newspapers," LUCY KEY MILLER
LUCY KEY MILLER"," Copyright Tribune Publishing Company May 6, 1958"," 519376462 , 6271152 , 53854", article," May 6, 1958",, English, English, b3," Chicago, Ill.","May 6, 1958",Chicago Daily Tribune (1923-1963),1958,http://search.proquest.com/docview/182102868?accountid=14496, B3,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=Front+Views+%26amp%3B+Profiles%3A+Sunshine+State&amp;title=Chicago+Daily+Tribune+%281923-1963%29&amp;issn=&amp;date=1958-05-06&amp;volume=&amp;issue=&amp;spage=B3&amp;au=LUCY+KEY+MILLER&amp;isbn=&amp;jtitle=Chicago+Daily+Tribune+%281923-1963%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
Officials Fuss At Fire Probe,A row between assistant buildings commissioner Pat Barrett and Coroner Walter McCarron broke out yesterday during an inquest into the death of four persons in a Westside tenement fire last Thursday.,493645830,Historical Newspapers,," Copyright Real Times, Inc. May 14, 1958"," 878912112 , 8721552 , 68422", article," May 14, 1958",, English, English, A3," Chicago, Ill.","May 14, 1958",Daily Defender (Daily Edition) (1956-1960),1958,http://search.proquest.com/docview/493645830?accountid=14496, A3,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagodefender&amp;atitle=Officials+Fuss+At+Fire+Probe%3A+All+Deny+Blame+For+Deaths+Of+4&amp;title=Daily+Defender+%28Daily+Edition%29+%281956-1960%29&amp;issn=&amp;date=1958-05-14&amp;volume=&amp;issue=&amp;spage=A3&amp;au=&amp;isbn=&amp;jtitle=Daily+Defender+%28Daily+Edition%29+%281956-1960%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Defender
Officials Fuss At Fire Probe(2),A row between assistant buildings commissioner Pat Barrett and Coroner Walter McCarron broke out yesterday during an inquest into the death of four persons in a Westside tenement fire last Thursday.,492982186,Historical Newspapers,," Copyright Real Times, Inc. May 24, 1958"," 742890842 , 7293862 , 68419", article," May 24, 1958",, English, English, 9," Chicago, Ill.","May 24, 1958",The Chicago Defender (National edition) (1921-1967),1958,http://search.proquest.com/docview/492982186?accountid=14496, 9,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagodefender&amp;atitle=Officials+Fuss+At+Fire+Probe%282%29%3A+All+Deny+Blame+For+Deaths+Of+4&amp;title=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;issn=&amp;date=1958-05-24&amp;volume=&amp;issue=&amp;spage=9&amp;au=&amp;isbn=&amp;jtitle=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Defender
JEWELS TO THEME SORORITY PARLEY,"""Jewels to Enrich Your Life"" will be the theme of the third annual convention of Kappa Phi Sigma sorority Saturday at the Statler Hilton Hotel, Los Angeles, announces Mrs. Aline Kinsey of this city, regent president.",167276479,Historical Newspapers,," Copyright Times Mirror Company Jul 13, 1958"," 475898292 , 6087042 , 53850", article," Jul 13, 1958",0458-3035, English, English,," Los Angeles, Calif.","Jul 13, 1958",Los Angeles Times (1923-Current File),1958,http://search.proquest.com/docview/167276479?accountid=14496, SC6,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=JEWELS+TO+THEME+SORORITY+PARLEY&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1958-07-13&amp;volume=&amp;issue=&amp;spage=SC6&amp;au=&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
"Comfort, convenience on beautiful Mission Bay",,167323593,Historical Newspapers,," Copyright Times Mirror Company Jul 13, 1958"," 475905132 , 6087042 , 53850", article," Jul 13, 1958",0458-3035, English, English, j18," Los Angeles, Calif.","Jul 13, 1958",Los Angeles Times (1923-Current File),1958,http://search.proquest.com/docview/167323593?accountid=14496, J18,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=Comfort%2C+convenience+on+beautiful+Mission+Bay&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1958-07-13&amp;volume=&amp;issue=&amp;spage=J18&amp;au=&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
COLLEGE SETS DEDICATION OF NEW BUILDING,"A new library-classroom building costing more than $700,000 will be dedicated on the campus of North Park college at 3 p. m. next Sunday",182180206,Historical Newspapers,," Copyright Tribune Publishing Company Sep 14, 1958"," 584320672 , 6667622 , 53854", article," Sep 14, 1958",, English, English, nw1," Chicago, Ill.","Sep 14, 1958",Chicago Daily Tribune (1923-1963),1958,http://search.proquest.com/docview/182180206?accountid=14496, NW1,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=COLLEGE+SETS+DEDICATION+OF+NEW+BUILDING%3A+NORTH+PARK+RITES+NEXT+SUNDAY&amp;title=Chicago+Daily+Tribune+%281923-1963%29&amp;issn=&amp;date=1958-09-14&amp;volume=&amp;issue=&amp;spage=NW1&amp;au=&amp;isbn=&amp;jtitle=Chicago+Daily+Tribune+%281923-1963%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
Appliances Practical Presents,"Smart Santas will note that convenient timesavers have blossomed forth with a sparkling beauty of modern design that makes them at home on dining, buffet, supper or patio table, as well as in the kitchen work...",167334156,Historical Newspapers,," Copyright Times Mirror Company Nov 30, 1958"," 476231252 , 6087242 , 53850", article," Nov 30, 1958",0458-3035, English, English,," Los Angeles, Calif.","Nov 30, 1958",Los Angeles Times (1923-Current File),1958,http://search.proquest.com/docview/167334156?accountid=14496, M3,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=Appliances+Practical+Presents&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1958-11-30&amp;volume=&amp;issue=&amp;spage=M3&amp;au=&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
Off the RECORD,"DOROTHY MAE STEVENS, Chicago's ""Deep Freeze"" woman everyone seems to have forgotten, will be in for a dismal Christmas unless Chicagoans remember. If you'l recall, Mrs. Stevens was found in a Southside alley on Feb. 8, 1951, frozen stiff. Her recovery...",493744675,Historical Newspapers," Blackwell, Lee
Lee
Lee Blackwell
Blackwell
LEE BLACKWELL"," Copyright Real Times, Inc. Dec 9, 1958"," 880688882 , 8730482 , 68422", article," Dec 9, 1958",, English, English, 10," Chicago, Ill.","Dec 9, 1958",Daily Defender (Daily Edition) (1956-1960),1958,http://search.proquest.com/docview/493744675?accountid=14496, 10,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagodefender&amp;atitle=Off+the+RECORD&amp;title=Daily+Defender+%28Daily+Edition%29+%281956-1960%29&amp;issn=&amp;date=1958-12-09&amp;volume=&amp;issue=&amp;spage=10&amp;au=Blackwell%2C+Lee&amp;isbn=&amp;jtitle=Daily+Defender+%28Daily+Edition%29+%281956-1960%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Defender
COLLEGE SEEKS FEDERAL LOAN FOR DORMITORY,Mundelein college will apply this week for a 1 million dollar government loan for construction of a seven story dormitory on the southwest corner of Sheridan road and Kenmore avenue.,182218013,Historical Newspapers,," Copyright Tribune Publishing Company Jan 11, 1959"," 564207702 , 6572092 , 53854", article," Jan 11, 1959",, English, English, n2," Chicago, Ill.","Jan 11, 1959",Chicago Daily Tribune (1923-1963),1959,http://search.proquest.com/docview/182218013?accountid=14496, N2,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=COLLEGE+SEEKS+FEDERAL+LOAN+FOR+DORMITORY%3A+MUNDELEIN+TELLS+PLANS+FOR+EXPANSION&amp;title=Chicago+Daily+Tribune+%281923-1963%29&amp;issn=&amp;date=1959-01-11&amp;volume=&amp;issue=&amp;spage=N2&amp;au=&amp;isbn=&amp;jtitle=Chicago+Daily+Tribune+%281923-1963%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
'Li'l Abner' Opens Monday,"""Li'I Abner,"" musical comedy version, moves into the Blackstone Monday night for a two week engagement with Patricia Northrop as Daisy Mae, Bob Kave in the title role, and Charlotte Nolan as Mammy Yokum.",182269895,Historical Newspapers,," Copyright Tribune Publishing Company Mar 15, 1959"," 564554192 , 6572722 , 53854", article," Mar 15, 1959",, English, English, l11," Chicago, Ill.","Mar 15, 1959",Chicago Daily Tribune (1923-1963),1959,http://search.proquest.com/docview/182269895?accountid=14496, L11,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=%27Li%27l+Abner%27+Opens+Monday&amp;title=Chicago+Daily+Tribune+%281923-1963%29&amp;issn=&amp;date=1959-03-15&amp;volume=&amp;issue=&amp;spage=L11&amp;au=&amp;isbn=&amp;jtitle=Chicago+Daily+Tribune+%281923-1963%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
2 New Buildings Will Be Erected at Lennox Park,ÿ A senior citizens building and another recreation building will be added to the facilities at Lennox Park. according to a county official.,167509990,Historical Newspapers,," Copyright Times Mirror Company Jul 12, 1959"," 485252452 , 6123082 , 53850", article," Jul 12, 1959",0458-3035, English, English,," Los Angeles, Calif.","Jul 12, 1959",Los Angeles Times (1923-Current File),1959,http://search.proquest.com/docview/167509990?accountid=14496, CS7,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=2+New+Buildings+Will+Be+Erected+at+Lennox+Park&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1959-07-12&amp;volume=&amp;issue=&amp;spage=CS7&amp;au=&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
